,title,comb
67,Up,Pete Docter John Ratzenberger Delroy Lindo Jess Harnell Adventure Animation Comedy Family
68,Monsters vs. Aliens,Rob Letterman Amy Poehler Rainn Wilson Stephen Colbert Action Adventure Animation Comedy Family Sci-Fi
69,Iron Man,Jon Favreau Robert Downey Jr. Jeff Bridges Jon Favreau Action Adventure Sci-Fi
70,Hugo,Martin Scorsese Chloë Grace Moretz Christopher Lee Ray Winstone Adventure Drama Family Mystery
71,Wild Wild West,Barry Sonnenfeld Will Smith Salma Hayek Bai Ling Action Comedy Sci-Fi Western
72,The Mummy: Tomb of the Dragon Emperor,Rob Cohen Jet Li Brendan Fraser Russell Wong Action Adventure Fantasy Horror Thriller
73,Suicide Squad,David Ayer Will Smith Robin Atkin Downes Ike Barinholtz Action Adventure Comedy Sci-Fi
74,Evan Almighty,Tom Shadyac Jimmy Bennett Morgan Freeman Steve Carell Comedy Family Fantasy
75,Edge of Tomorrow,Doug Liman Tom Cruise Lara Pulver Noah Taylor Action Adventure Sci-Fi
76,Waterworld,Kevin Reynolds Jeanne Tripplehorn Rick Aviles Zakes Mokae Action Adventure Sci-Fi Thriller
77,G.I. Joe: The Rise of Cobra,Stephen Sommers Joseph Gordon-Levitt Dennis Quaid Leo Howard Action Adventure Sci-Fi Thriller
78,Inside Out,Pete Docter Amy Poehler Mindy Kaling Phyllis Smith Adventure Animation Comedy Drama Family Fantasy
79,The Jungle Book,Jon Favreau Scarlett Johansson Bill Murray Garry Shandling Adventure Drama Family Fantasy
80,Iron Man 2,Jon Favreau Robert Downey Jr. Scarlett Johansson Jon Favreau Action Adventure Sci-Fi
81,Snow White and the Huntsman,Rupert Sanders Chris Hemsworth Kristen Stewart Sam Claflin Action Adventure Drama Fantasy
82,Maleficent,Robert Stromberg Angelina Jolie Pitt Sharlto Copley Sam Riley Action Adventure Family Fantasy Romance
83,Dawn of the Planet of the Apes,Matt Reeves Gary Oldman Judy Greer Kodi Smit-McPhee Action Adventure Drama Sci-Fi
84,The Lovers,Roland Joffé Tamsin Egerton Alice Englert Bipasha Basu Action Adventure Romance Sci-Fi
85,47 Ronin,Carl Rinsch Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Action Adventure Drama Fantasy
86,Captain America: The Winter Soldier,Anthony Russo Scarlett Johansson Chris Evans Hayley Atwell Action Adventure Sci-Fi
87,Shrek Forever After,Mike Mitchell Jon Hamm Kathy Griffin Mary Kay Place Adventure Animation Comedy Family Fantasy
88,Tomorrowland,Brad Bird Judy Greer Chris Bauer Thomas Robinson Action Adventure Family Mystery Sci-Fi
89,Big Hero 6,Don Hall Damon Wayans Jr. Daniel Henney Abraham Benrubi Action Adventure Animation Comedy Drama Family Sci-Fi
90,Wreck-It Ralph,Rich Moore Jack McBrayer Sarah Silverman Joe Lo Truglio Adventure Animation Comedy Family Sci-Fi
91,The Polar Express,Robert Zemeckis Tom Hanks Eddie Deezen Peter Scolari Adventure Animation Family Fantasy
92,Independence Day: Resurgence,Roland Emmerich Vivica A. Fox Sela Ward Judd Hirsch Action Adventure Sci-Fi
